#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_a_coruna;A Coruña;A Coruña;A Coruña;;A Coruña;;;;;;;;;x
b_uppsala_3;Uppsala;Uppsala;Uppsala;;Uppsala;;;;;;;;;x
b_uppsala_3_adj;Uppsalan;;uppsaler;;;;;;;;;;;x
b_uppsala_4;Uppsala;Uppsala;Uppsala;;Uppsala;;;;;;;;;x
b_uppsala_4_adj;Uppsalan;;uppsaler;;;;;;;;;;;x
b_uppsala_5;Uppsala;Uppsala;Uppsala;;Uppsala;;;;;;;;;x
b_uppsala_5_adj;Uppsalan;;uppsaler;;;;;;;;;;;x
b_uralsk;Uralsk;Uralsk;Uralsk;;Uralsk;;;;;;;;;x
b_uralsk_adj;Uralskian;;uralsker;;;;;;;;;;;x
b_uralsk_2;Uralsk;Uralsk;Uralsk;;Uralsk;;;;;;;;;x
b_uralsk_2_adj;Uralskian;;uralsker;;;;;;;;;;;x
b_uralsk_3;Uralsk;Uralsk;Uralsk;;Uralsk;;;;;;;;;x
b_uralsk_3_adj;Uralskian;;uralsker;;;;;;;;;;;x
b_uralsk_4;Uralsk;Uralsk;Uralsk;;Uralsk;;;;;;;;;x
b_uralsk_4_adj;Uralskian;;uralsker;;;;;;;;;;;x
b_uralsk_5;Uralsk;Uralsk;Uralsk;;Uralsk;;;;;;;;;x
b_uralsk_5_adj;Uralskian;;uralsker;;;;;;;;;;;x
b_urfa;Urfa;Urfa;Urfa;;Urfa;;;;;;;;;x
b_urfa_adj;Urfan;;urfer;;;;;;;;;;;x
b_urfa_2;Urfa;Urfa;Urfa;;Urfa;;;;;;;;;x
b_urfa_2_adj;Urfan;;urfer;;;;;;;;;;;x
b_urfa_3;Urfa;Urfa;Urfa;;Urfa;;;;;;;;;x
b_urfa_3_adj;Urfan;;urfer;;;;;;;;;;;x
b_urfa_4;Urfa;Urfa;Urfa;;Urfa;;;;;;;;;x
b_urfa_4_adj;Urfan;;urfer;;;;;;;;;;;x
b_urfa_5;Urfa;Urfa;Urfa;;Urfa;;;;;;;;;x
b_urfa_5_adj;Urfan;;urfer;;;;;;;;;;;x
b_urumia;Urumia;Urumia;Urumia;;Urumia;;;;;;;;;x
b_urumia_adj;Urumian;;urumer;;;;;;;;;;;x
b_urumia_2;Urumia;Urumia;Urumia;;Urumia;;;;;;;;;x
b_urumia_2_adj;Urumian;;urumer;;;;;;;;;;;x
b_urumia_3;Urumia;Urumia;Urumia;;Urumia;;;;;;;;;x
b_urumia_3_adj;Urumian;;urumer;;;;;;;;;;;x
b_urumia_4;Urumia;Urumia;Urumia;;Urumia;;;;;;;;;x
b_urumia_4_adj;Urumian;;urumer;;;;;;;;;;;x
b_urumia_5;Urumia;Urumia;Urumia;;Urumia;;;;;;;;;x
b_urumia_5_adj;Urumian;;urumer;;;;;;;;;;;x
b_usogorsk;Usogorsk;Usogorsk;Usogorsk;;Usogorsk;;;;;;;;;x
b_usogorsk_adj;Usogorskian;;usogorsker;;;;;;;;;;;x
b_usogorsk_2;Usogorsk;Usogorsk;Usogorsk;;Usogorsk;;;;;;;;;x
b_usogorsk_2_adj;Usogorskian;;usogorsker;;;;;;;;;;;x
b_usogorsk_3;Usogorsk;Usogorsk;Usogorsk;;Usogorsk;;;;;;;;;x
b_usogorsk_3_adj;Usogorskian;;usogorsker;;;;;;;;;;;x
b_usogorsk_4;Usogorsk;Usogorsk;Usogorsk;;Usogorsk;;;;;;;;;x
b_usogorsk_4_adj;Usogorskian;;usogorsker;;;;;;;;;;;x
b_usogorsk_5;Usogorsk;Usogorsk;Usogorsk;;Usogorsk;;;;;;;;;x
b_usogorsk_5_adj;Usogorskian;;usogorsker;;;;;;;;;;;x
b_ust_sysolsk;Ust Sysolsk;Ust Sysolsk;Ust Sysolsk;;Ust Sysolsk;;;;;;;;;x
b_ust_sysolsk_adj;Ust Sysolskian;;Ust Sysolsker;;;;;;;;;;;x
b_ust_sysolsk_2;Ust Sysolsk;Ust Sysolsk;Ust Sysolsk;;Ust Sysolsk;;;;;;;;;x
b_ust_sysolsk_2_adj;Ust Sysolskian;;Ust Sysolsker;;;;;;;;;;;x
b_ust_sysolsk_3;Ust Sysolsk;Ust Sysolsk;Ust Sysolsk;;Ust Sysolsk;;;;;;;;;x
b_ust_sysolsk_3_adj;Ust Sysolskian;;Ust Sysolsker;;;;;;;;;;;x
b_ust_sysolsk_4;Ust Sysolsk;Ust Sysolsk;Ust Sysolsk;;Ust Sysolsk;;;;;;;;;x
b_ust_sysolsk_4_adj;Ust Sysolskian;;Ust Sysolsker;;;;;;;;;;;x
b_ust_sysolsk_5;Ust Sysolsk;Ust Sysolsk;Ust Sysolsk;;Ust Sysolsk;;;;;;;;;x
b_ust_sysolsk_5_adj;Ust Sysolskian;;Ust Sysolsker;;;;;;;;;;;x
b_usti_nad_labem;Ústí nad Labem;Ústí nad Labem;Ústí nad Labem;;Ústí nad Labem;;;;;;;;;x
b_usti_nad_labem_adj;Ústí nad Labemian;;Ústí nad Labemer;;;;;;;;;;;x
b_usti_nad_labem_2;Ústí nad Labem;Ústí nad Labem;Ústí nad Labem;;Ústí nad Labem;;;;;;;;;x
b_usti_nad_labem_2_adj;Ústí nad Labemian;;Ústí nad Labemer;;;;;;;;;;;x
b_usti_nad_labem_3;Ústí nad Labem;Ústí nad Labem;Ústí nad Labem;;Ústí nad Labem;;;;;;;;;x
b_usti_nad_labem_3_adj;Ústí nad Labemian;;Ústí nad Labemer;;;;;;;;;;;x
b_usti_nad_labem_4;Ústí nad Labem;Ústí nad Labem;Ústí nad Labem;;Ústí nad Labem;;;;;;;;;x
b_usti_nad_labem_4_adj;Ústí nad Labemian;;Ústí nad Labemer;;;;;;;;;;;x
b_usti_nad_labem_5;Ústí nad Labem;Ústí nad Labem;Ústí nad Labem;;Ústí nad Labem;;;;;;;;;x
b_usti_nad_labem_5_adj;Ústí nad Labemian;;Ústí nad Labemer;;;;;;;;;;;x
b_utrecht;Utrecht;Utrecht;Utrecht;;Utrecht;;;;;;;;;x
b_utrecht_adj;Utrechtian;;utrechter;;;;;;;;;;;x
b_utrecht_2;Utrecht;Utrecht;Utrecht;;Utrecht;;;;;;;;;x
b_utrecht_2_adj;Utrechtian;;utrechter;;;;;;;;;;;x
b_utrecht_3;Utrecht;Utrecht;Utrecht;;Utrecht;;;;;;;;;x
b_utrecht_3_adj;Utrechtian;;utrechter;;;;;;;;;;;x
b_utrecht_4;Utrecht;Utrecht;Utrecht;;Utrecht;;;;;;;;;x
b_utrecht_4_adj;Utrechtian;;utrechter;;;;;;;;;;;x
b_utrecht_5;Utrecht;Utrecht;Utrecht;;Utrecht;;;;;;;;;x
b_utrecht_5_adj;Utrechtian;;utrechter;;;;;;;;;;;x
b_uzhhorod;Uzhhorod;Uzhhorod;Uzhhorod;;Uzhhorod;;;;;;;;;x
b_uzhhorod_adj;Uzhhorodian;;uzhhoroder;;;;;;;;;;;x
b_uzhhorod_2;Uzhhorod;Uzhhorod;Uzhhorod;;Uzhhorod;;;;;;;;;x
b_uzhhorod_2_adj;Uzhhorodian;;uzhhoroder;;;;;;;;;;;x
b_uzhhorod_3;Uzhhorod;Uzhhorod;Uzhhorod;;Uzhhorod;;;;;;;;;x
b_uzhhorod_3_adj;Uzhhorodian;;uzhhoroder;;;;;;;;;;;x
b_uzice;Užice;Užice;Užice;;Užice;;;;;;;;;x
b_uzice_adj;Užicean;;užicer;;;;;;;;;;;x
b_uzice_2;Užice;Užice;Užice;;Užice;;;;;;;;;x
b_uzice_2_adj;Užicean;;užicer;;;;;;;;;;;x
b_uzice_3;Užice;Užice;Užice;;Užice;;;;;;;;;x
b_uzice_3_adj;Užicean;;užicer;;;;;;;;;;;x
b_uzice_4;Užice;Užice;Užice;;Užice;;;;;;;;;x
b_uzice_4_adj;Užicean;;užicer;;;;;;;;;;;x
b_uzice_5;Užice;Užice;Užice;;Užice;;;;;;;;;x
b_uzice_5_adj;Užicean;;užicer;;;;;;;;;;;x
b_vaasa;Vaasa;Vaasa;Vaasa;;Vaasa;;;;;;;;;x
b_vaasa_adj;Vaasan;;vaaser;;;;;;;;;;;x
b_vaasa_2;Vaasa;Vaasa;Vaasa;;Vaasa;;;;;;;;;x
b_vaasa_2_adj;Vaasan;;vaaser;;;;;;;;;;;x
b_vaasa_3;Vaasa;Vaasa;Vaasa;;Vaasa;;;;;;;;;x
b_vaasa_3_adj;Vaasan;;vaaser;;;;;;;;;;;x
b_vaasa_4;Vaasa;Vaasa;Vaasa;;Vaasa;;;;;;;;;x
b_vaasa_4_adj;Vaasan;;vaaser;;;;;;;;;;;x
b_vaasa_5;Vaasa;Vaasa;Vaasa;;Vaasa;;;;;;;;;x
b_vaasa_5_adj;Vaasan;;vaaser;;;;;;;;;;;x
b_vaduz;Vaduz;Vaduz;Vaduz;;Vaduz;;;;;;;;;x
b_vaduz_adj;Vaduzian;;vaduzer;;;;;;;;;;;x
b_vaesteras;Västerås;Västerås;Västerås;;Västerås;;;;;;;;;x
b_vaesteras_adj;Västeråsian;;västeråser;;;;;;;;;;;x
b_vaesteras_2;Västerås;Västerås;Västerås;;Västerås;;;;;;;;;x
b_vaesteras_2_adj;Västeråsian;;västeråser;;;;;;;;;;;x
b_vaesteras_3;Västerås;Västerås;Västerås;;Västerås;;;;;;;;;x
b_vaesteras_3_adj;Västeråsian;;västeråser;;;;;;;;;;;x
b_vaesteras_4;Västerås;Västerås;Västerås;;Västerås;;;;;;;;;x
b_vaesteras_4_adj;Västeråsian;;västeråser;;;;;;;;;;;x
b_vaesteras_5;Västerås;Västerås;Västerås;;Västerås;;;;;;;;;x
b_vaesteras_5_adj;Västeråsian;;västeråser;;;;;;;;;;;x
b_vaexjoe;Växjö;Växjö;Växjö;;Växjö;;;;;;;;;x
b_vaexjoe_adj;Växjöian;;växjöer;;;;;;;;;;;x
b_vaexjoe_2;Växjö;Växjö;Växjö;;Växjö;;;;;;;;;x
b_vaexjoe_2_adj;Växjöian;;växjöer;;;;;;;;;;;x
b_vaexjoe_3;Växjö;Växjö;Växjö;;Växjö;;;;;;;;;x
b_vaexjoe_3_adj;Växjöian;;växjöer;;;;;;;;;;;x
b_vaexjoe_4;Växjö;Växjö;Växjö;;Växjö;;;;;;;;;x
b_vaexjoe_4_adj;Växjöian;;växjöer;;;;;;;;;;;x
b_vaexjoe_5;Växjö;Växjö;Växjö;;Växjö;;;;;;;;;x
b_vaexjoe_5_adj;Växjöian;;växjöer;;;;;;;;;;;x
b_valence;Valence;Valence;Valence;;Valence;;;;;;;;;x
b_valence_adj;Valencean;;valencer;;;;;;;;;;;x
b_valence_2;Valence;Valence;Valence;;Valence;;;;;;;;;x
b_valence_2_adj;Valencean;;valencer;;;;;;;;;;;x
b_valence_3;Valence;Valence;Valence;;Valence;;;;;;;;;x
b_valence_3_adj;Valencean;;valencer;;;;;;;;;;;x
b_valence_4;Valence;Valence;Valence;;Valence;;;;;;;;;x
b_valence_4_adj;Valencean;;valencer;;;;;;;;;;;x
b_valence_5;Valence;Valence;Valence;;Valence;;;;;;;;;x
b_valence_5_adj;Valencean;;valencer;;;;;;;;;;;x
b_valencia;Valencia;Valencia;Valencia;;Valencia;;;;;;;;;x
b_valencia_adj;Valencian;;valencer;;;;;;;;;;;x
b_valencia_2;Valencia;Valencia;Valencia;;Valencia;;;;;;;;;x
b_valencia_2_adj;Valencian;;valencer;;;;;;;;;;;x
b_valencia_3;Valencia;Valencia;Valencia;;Valencia;;;;;;;;;x
b_valencia_3_adj;Valencian;;valencer;;;;;;;;;;;x
b_valencia_4;Valencia;Valencia;Valencia;;Valencia;;;;;;;;;x
b_valencia_4_adj;Valencian;;valencer;;;;;;;;;;;x
b_valencia_5;Valencia;Valencia;Valencia;;Valencia;;;;;;;;;x
b_valencia_5_adj;Valencian;;valencer;;;;;;;;;;;x
b_valladolid;Valladolid;Valladolid;Valladolid;;Valladolid;;;;;;;;;x
b_valladolid_adj;Valladolidian;;valladolider;;;;;;;;;;;x
b_valladolid_2;Valladolid;Valladolid;Valladolid;;Valladolid;;;;;;;;;x
b_valladolid_2_adj;Valladolidian;;valladolider;;;;;;;;;;;x
b_valladolid_3;Valladolid;Valladolid;Valladolid;;Valladolid;;;;;;;;;x
b_valladolid_3_adj;Valladolidian;;valladolider;;;;;;;;;;;x
b_valladolid_4;Valladolid;Valladolid;Valladolid;;Valladolid;;;;;;;;;x
b_valladolid_4_adj;Valladolidian;;valladolider;;;;;;;;;;;x
b_valladolid_5;Valladolid;Valladolid;Valladolid;;Valladolid;;;;;;;;;x
b_valladolid_5_adj;Valladolidian;;valladolider;;;;;;;;;;;x
b_valmiera;Valmiera;Valmiera;Valmiera;;Valmiera;;;;;;;;;x
b_valmiera_adj;Valmieran;;valmierer;;;;;;;;;;;x
b_valmiera_2;Valmiera;Valmiera;Valmiera;;Valmiera;;;;;;;;;x
b_valmiera_2_adj;Valmieran;;valmierer;;;;;;;;;;;x
b_valmiera_3;Valmiera;Valmiera;Valmiera;;Valmiera;;;;;;;;;x
b_valmiera_3_adj;Valmieran;;valmierer;;;;;;;;;;;x
b_valmiera_4;Valmiera;Valmiera;Valmiera;;Valmiera;;;;;;;;;x
b_valmiera_4_adj;Valmieran;;valmierer;;;;;;;;;;;x
b_valmiera_5;Valmiera;Valmiera;Valmiera;;Valmiera;;;;;;;;;x
b_valmiera_5_adj;Valmieran;;valmierer;;;;;;;;;;;x
b_van;Van;Van;Van;;Van;;;;;;;;;x
b_van_adj;Vanian;;vaner;;;;;;;;;;;x
b_van_2;Van;Van;Van;;Van;;;;;;;;;x
b_van_2_adj;Vanian;;vaner;;;;;;;;;;;x
b_van_3;Van;Van;Van;;Van;;;;;;;;;x
b_van_3_adj;Vanian;;vaner;;;;;;;;;;;x
b_van_4;Van;Van;Van;;Van;;;;;;;;;x
b_van_4_adj;Vanian;;vaner;;;;;;;;;;;x
b_van_5;Van;Van;Van;;Van;;;;;;;;;x
b_van_5_adj;Vanian;;vaner;;;;;;;;;;;x
b_vannes;Vannes;Vannes;Vannes;;Vannes;;;;;;;;;x
b_vannes_adj;Vannesian;;vanneser;;;;;;;;;;;x
b_vannes_2;Vannes;Vannes;Vannes;;Vannes;;;;;;;;;x
b_vannes_2_adj;Vannesian;;vanneser;;;;;;;;;;;x
b_vannes_3;Vannes;Vannes;Vannes;;Vannes;;;;;;;;;x
b_vannes_3_adj;Vannesian;;vanneser;;;;;;;;;;;x
b_vannes_4;Vannes;Vannes;Vannes;;Vannes;;;;;;;;;x
b_vannes_4_adj;Vannesian;;vanneser;;;;;;;;;;;x
b_vannes_5;Vannes;Vannes;Vannes;;Vannes;;;;;;;;;x
b_vannes_5_adj;Vannesian;;vanneser;;;;;;;;;;;x
b_varazdin;Varaždin;Varaždin;Varaždin;;Varaždin;;;;;;;;;x
b_varazdin_adj;Varaždinian;;varaždiner;;;;;;;;;;;x
b_varazdin_2;Varaždin;Varaždin;Varaždin;;Varaždin;;;;;;;;;x
b_varazdin_2_adj;Varaždinian;;varaždiner;;;;;;;;;;;x
b_varazdin_3;Varaždin;Varaždin;Varaždin;;Varaždin;;;;;;;;;x
b_varazdin_3_adj;Varaždinian;;varaždiner;;;;;;;;;;;x
b_varazdin_4;Varaždin;Varaždin;Varaždin;;Varaždin;;;;;;;;;x
b_varazdin_4_adj;Varaždinian;;varaždiner;;;;;;;;;;;x
b_varazdin_5;Varaždin;Varaždin;Varaždin;;Varaždin;;;;;;;;;x
b_varazdin_5_adj;Varaždinian;;varaždiner;;;;;;;;;;;x
b_varna;Varna;Varna;Varna;;Varna;;;;;;;;;x
b_varna_adj;Varnan;;varner;;;;;;;;;;;x
b_varna_2;Varna;Varna;Varna;;Varna;;;;;;;;;x
b_varna_2_adj;Varnan;;varner;;;;;;;;;;;x
b_varna_3;Varna;Varna;Varna;;Varna;;;;;;;;;x
b_varna_3_adj;Varnan;;varner;;;;;;;;;;;x
b_varna_4;Varna;Varna;Varna;;Varna;;;;;;;;;x
b_varna_4_adj;Varnan;;varner;;;;;;;;;;;x
b_varna_5;Varna;Varna;Varna;;Varna;;;;;;;;;x
b_varna_5_adj;Varnan;;varner;;;;;;;;;;;x
b_varnhem;Varnhem;Varnhem;Varnhem;;Varnhem;;;;;;;;;x
b_varnhem_adj;Varnhemian;;varnhemer;;;;;;;;;;;x
b_vatican;Vatican;Vatican;Vatican;;Vatican;;;;;;;;;x
b_vatican_adj;Vaticanian;;vaticaner;;;;;;;;;;;x
b_velikiye_luki;Velikiye Luki;Velikiye Luki;Velikiye Luki;;Velikiye Luki;;;;;;;;;x
b_velikiye_luki_adj;Velikiye Lukian;;Velikiye Luker;;;;;;;;;;;x
b_velikiye_luki_2;Velikiye Luki;Velikiye Luki;Velikiye Luki;;Velikiye Luki;;;;;;;;;x
b_velikiye_luki_2_adj;Velikiye Lukian;;Velikiye Luker;;;;;;;;;;;x
b_velikiye_luki_3;Velikiye Luki;Velikiye Luki;Velikiye Luki;;Velikiye Luki;;;;;;;;;x
b_velikiye_luki_3_adj;Velikiye Lukian;;Velikiye Luker;;;;;;;;;;;x
b_velikiye_luki_4;Velikiye Luki;Velikiye Luki;Velikiye Luki;;Velikiye Luki;;;;;;;;;x
b_velikiye_luki_4_adj;Velikiye Lukian;;Velikiye Luker;;;;;;;;;;;x
b_velikiye_luki_5;Velikiye Luki;Velikiye Luki;Velikiye Luki;;Velikiye Luki;;;;;;;;;x
b_velikiye_luki_5_adj;Velikiye Lukian;;Velikiye Luker;;;;;;;;;;;x
b_velingara;Velingara;Velingara;Velingara;;Velingara;;;;;;;;;x
b_velingara_adj;Velingaran;;velingarer;;;;;;;;;;;x
b_velingara_2;Velingara;Velingara;Velingara;;Velingara;;;;;;;;;x
b_velingara_2_adj;Velingaran;;velingarer;;;;;;;;;;;x
b_velingara_3;Velingara;Velingara;Velingara;;Velingara;;;;;;;;;x
b_velingara_3_adj;Velingaran;;velingarer;;;;;;;;;;;x
b_velingara_4;Velingara;Velingara;Velingara;;Velingara;;;;;;;;;x
b_velingara_4_adj;Velingaran;;velingarer;;;;;;;;;;;x
b_velingara_5;Velingara;Velingara;Velingara;;Velingara;;;;;;;;;x
b_velingara_5_adj;Velingaran;;velingarer;;;;;;;;;;;x
b_venafro;Venafro;Venafro;Venafro;;Venafro;;;;;;;;;x
b_venafro_adj;Venafrian;;venafrer;;;;;;;;;;;x
b_venezia;Venezia;Venezia;Venezia;;Venezia;;;;;;;;;x
b_venezia_adj;Venezian;;venezer;;;;;;;;;;;x
b_venezia_2;Venezia;Venezia;Venezia;;Venezia;;;;;;;;;x
b_venezia_2_adj;Venezian;;venezer;;;;;;;;;;;x
b_venezia_3;Venezia;Venezia;Venezia;;Venezia;;;;;;;;;x
b_venezia_3_adj;Venezian;;venezer;;;;;;;;;;;x
b_venezia_4;Venezia;Venezia;Venezia;;Venezia;;;;;;;;;x
b_venezia_4_adj;Venezian;;venezer;;;;;;;;;;;x
b_venezia_5;Venezia;Venezia;Venezia;;Venezia;;;;;;;;;x
b_venezia_5_adj;Venezian;;venezer;;;;;;;;;;;x
b_ventspils;Ventspils;Ventspils;Ventspils;;Ventspils;;;;;;;;;x
b_ventspils_adj;Ventspilsian;;ventspilser;;;;;;;;;;;x
b_ventspils_2;Ventspils;Ventspils;Ventspils;;Ventspils;;;;;;;;;x
b_ventspils_2_adj;Ventspilsian;;ventspilser;;;;;;;;;;;x
b_ventspils_3;Ventspils;Ventspils;Ventspils;;Ventspils;;;;;;;;;x
b_ventspils_3_adj;Ventspilsian;;ventspilser;;;;;;;;;;;x
b_ventspils_4;Ventspils;Ventspils;Ventspils;;Ventspils;;;;;;;;;x
b_ventspils_4_adj;Ventspilsian;;ventspilser;;;;;;;;;;;x
b_ventspils_5;Ventspils;Ventspils;Ventspils;;Ventspils;;;;;;;;;x
b_ventspils_5_adj;Ventspilsian;;ventspilser;;;;;;;;;;;x
b_verdun;Verdun;Verdun;Verdun;;Verdun;;;;;;;;;x
b_verdun_adj;Verdunian;;verduner;;;;;;;;;;;x
b_verdun_2;Verdun;Verdun;Verdun;;Verdun;;;;;;;;;x
b_verdun_2_adj;Verdunian;;verduner;;;;;;;;;;;x
b_verdun_3;Verdun;Verdun;Verdun;;Verdun;;;;;;;;;x
b_verdun_3_adj;Verdunian;;verduner;;;;;;;;;;;x
b_verdun_4;Verdun;Verdun;Verdun;;Verdun;;;;;;;;;x
b_verdun_4_adj;Verdunian;;verduner;;;;;;;;;;;x
b_verdun_5;Verdun;Verdun;Verdun;;Verdun;;;;;;;;;x
b_verdun_5_adj;Verdunian;;verduner;;;;;;;;;;;x
b_veria;Veria;Veria;Veria;;Veria;;;;;;;;;x
b_veria_adj;Verian;;verer;;;;;;;;;;;x
b_verin;Verín;Verín;Verín;;Verín;;;;;;;;;x
b_verin_adj;Verínian;;veríner;;;;;;;;;;;x
b_verkhniy_ufaley;Verkhniy Ufaley;Verkhniy Ufaley;Verkhniy Ufaley;;Verkhniy Ufaley;;;;;;;;;x
b_verkhniy_ufaley_adj;Verkhniy Ufaleian;;Verkhniy Ufaleer;;;;;;;;;;;x
b_verkhniy_ufaley_2;Verkhniy Ufaley;Verkhniy Ufaley;Verkhniy Ufaley;;Verkhniy Ufaley;;;;;;;;;x
b_verkhniy_ufaley_2_adj;Verkhniy Ufaleian;;Verkhniy Ufaleer;;;;;;;;;;;x
b_verkhniy_ufaley_3;Verkhniy Ufaley;Verkhniy Ufaley;Verkhniy Ufaley;;Verkhniy Ufaley;;;;;;;;;x
b_verkhniy_ufaley_3_adj;Verkhniy Ufaleian;;Verkhniy Ufaleer;;;;;;;;;;;x
b_verkhniy_ufaley_4;Verkhniy Ufaley;Verkhniy Ufaley;Verkhniy Ufaley;;Verkhniy Ufaley;;;;;;;;;x
b_verkhniy_ufaley_4_adj;Verkhniy Ufaleian;;Verkhniy Ufaleer;;;;;;;;;;;x
b_verkhniy_ufaley_5;Verkhniy Ufaley;Verkhniy Ufaley;Verkhniy Ufaley;;Verkhniy Ufaley;;;;;;;;;x
b_verkhniy_ufaley_5_adj;Verkhniy Ufaleian;;Verkhniy Ufaleer;;;;;;;;;;;x
b_verona;Verona;Verona;Verona;;Verona;;;;;;;;;x
b_verona_adj;Veronan;;veroner;;;;;;;;;;;x
b_verona_2;Verona;Verona;Verona;;Verona;;;;;;;;;x
b_verona_2_adj;Veronan;;veroner;;;;;;;;;;;x
b_verona_3;Verona;Verona;Verona;;Verona;;;;;;;;;x
b_verona_3_adj;Veronan;;veroner;;;;;;;;;;;x
b_verona_4;Verona;Verona;Verona;;Verona;;;;;;;;;x
b_verona_4_adj;Veronan;;veroner;;;;;;;;;;;x
b_verona_5;Verona;Verona;Verona;;Verona;;;;;;;;;x
b_verona_5_adj;Veronan;;veroner;;;;;;;;;;;x
b_vetluga;Vetluga;Vetluga;Vetluga;;Vetluga;;;;;;;;;x
b_vetluga_adj;Vetlugan;;vetluger;;;;;;;;;;;x
b_vetluga_2;Vetluga;Vetluga;Vetluga;;Vetluga;;;;;;;;;x
b_vetluga_2_adj;Vetlugan;;vetluger;;;;;;;;;;;x
b_vetluga_3;Vetluga;Vetluga;Vetluga;;Vetluga;;;;;;;;;x
b_vetluga_3_adj;Vetlugan;;vetluger;;;;;;;;;;;x
b_vetluga_4;Vetluga;Vetluga;Vetluga;;Vetluga;;;;;;;;;x
b_vetluga_4_adj;Vetlugan;;vetluger;;;;;;;;;;;x
b_vetluga_5;Vetluga;Vetluga;Vetluga;;Vetluga;;;;;;;;;x
b_vetluga_5_adj;Vetlugan;;vetluger;;;;;;;;;;;x
b_vidin;Vidin;Vidin;Vidin;;Vidin;;;;;;;;;x
b_vidin_adj;Vidinian;;vidiner;;;;;;;;;;;x
b_vidin_2;Vidin;Vidin;Vidin;;Vidin;;;;;;;;;x
b_vidin_2_adj;Vidinian;;vidiner;;;;;;;;;;;x
b_vidin_3;Vidin;Vidin;Vidin;;Vidin;;;;;;;;;x
b_vidin_3_adj;Vidinian;;vidiner;;;;;;;;;;;x
b_vidin_4;Vidin;Vidin;Vidin;;Vidin;;;;;;;;;x
b_vidin_4_adj;Vidinian;;vidiner;;;;;;;;;;;x
b_vidin_5;Vidin;Vidin;Vidin;;Vidin;;;;;;;;;x
b_vidin_5_adj;Vidinian;;vidiner;;;;;;;;;;;x
b_vigo;Vigo;Vigo;Vigo;;Vigo;;;;;;;;;x
b_vigo_adj;Vigian;;viger;;;;;;;;;;;x
b_viipuri;Viipuri;Viipuri;Viipuri;;Viipuri;;;;;;;;;x
b_viipuri_adj;Viipurian;;viipurer;;;;;;;;;;;x
b_viipuri_2;Viipuri;Viipuri;Viipuri;;Viipuri;;;;;;;;;x
b_viipuri_2_adj;Viipurian;;viipurer;;;;;;;;;;;x
b_viipuri_3;Viipuri;Viipuri;Viipuri;;Viipuri;;;;;;;;;x
b_viipuri_3_adj;Viipurian;;viipurer;;;;;;;;;;;x
b_viipuri_4;Viipuri;Viipuri;Viipuri;;Viipuri;;;;;;;;;x
b_viipuri_4_adj;Viipurian;;viipurer;;;;;;;;;;;x
b_viipuri_5;Viipuri;Viipuri;Viipuri;;Viipuri;;;;;;;;;x
b_viipuri_5_adj;Viipurian;;viipurer;;;;;;;;;;;x
b_vila_real;Vila Real;Vila Real;Vila Real;;Vila Real;;;;;;;;;x
b_vila_real_adj;Vila Realian;;Vila Realer;;;;;;;;;;;x
b_vilagarcia;Vilagarcía;Vilagarcía;Vilagarcía;;Vilagarcía;;;;;;;;;x
b_vilagarcia_adj;Vilagarcían;;vilagarcíer;;;;;;;;;;;x
b_villach;Villach;Villach;Villach;;Villach;;;;;;;;;x
b_villach_adj;Villachian;;villacher;;;;;;;;;;;x
b_villalba;Villalba;Villalba;Villalba;;Villalba;;;;;;;;;x
b_villalba_adj;Villalban;;villalber;;;;;;;;;;;x
b_vilnius;Vilnius;Vilnius;Vilnius;;Vilnius;;;;;;;;;x
b_vilnius_adj;Vilniusian;;vilniuser;;;;;;;;;;;x
b_vilnius_2;Vilnius;Vilnius;Vilnius;;Vilnius;;;;;;;;;x
b_vilnius_2_adj;Vilniusian;;vilniuser;;;;;;;;;;;x
b_vilnius_3;Vilnius;Vilnius;Vilnius;;Vilnius;;;;;;;;;x
b_vilnius_3_adj;Vilniusian;;vilniuser;;;;;;;;;;;x
b_vilnius_4;Vilnius;Vilnius;Vilnius;;Vilnius;;;;;;;;;x
b_vilnius_4_adj;Vilniusian;;vilniuser;;;;;;;;;;;x
b_vilnius_5;Vilnius;Vilnius;Vilnius;;Vilnius;;;;;;;;;x
b_vilnius_5_adj;Vilniusian;;vilniuser;;;;;;;;;;;x
b_vinnitsa;Vinnitsa;Vinnitsa;Vinnitsa;;Vinnitsa;;;;;;;;;x
b_vinnitsa_adj;Vinnitsan;;vinnitser;;;;;;;;;;;x
b_vinnitsa_2;Vinnitsa;Vinnitsa;Vinnitsa;;Vinnitsa;;;;;;;;;x
b_vinnitsa_2_adj;Vinnitsan;;vinnitser;;;;;;;;;;;x
b_vinnitsa_3;Vinnitsa;Vinnitsa;Vinnitsa;;Vinnitsa;;;;;;;;;x
b_vinnitsa_3_adj;Vinnitsan;;vinnitser;;;;;;;;;;;x
b_vinnitsa_4;Vinnitsa;Vinnitsa;Vinnitsa;;Vinnitsa;;;;;;;;;x
b_vinnitsa_4_adj;Vinnitsan;;vinnitser;;;;;;;;;;;x
b_vinnitsa_5;Vinnitsa;Vinnitsa;Vinnitsa;;Vinnitsa;;;;;;;;;x
b_vinnitsa_5_adj;Vinnitsan;;vinnitser;;;;;;;;;;;x
b_vitebsk;Vitebsk;Vitebsk;Vitebsk;;Vitebsk;;;;;;;;;x
b_vitebsk_adj;Vitebskian;;vitebsker;;;;;;;;;;;x
